,Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Employment,"First-quarter payroll ($1,000)","Annual payroll ($1,000)",,rate
966,0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2015,2048,30354,269964,1177874,,0.005765408
1108,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2010,2767,43808,345286,1505623,,0.443236476
1008,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2011,2749,43155,363998,1544995,,-0.014905953
1028,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2012,2693,44673,387356,1659609,,0.03517553
1048,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2013,2678,43936,380787,1604017,,-0.016497661
1068,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2014,2667,44283,396968,1681322,,0.007897851
1088,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2015,2706,45347,408020,1763849,,0.024027279
1233,0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2010,2025,21896,150002,636206,,-0.517145566
1128,0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2011,2005,22038,166231,685100,,0.006485203
1149,0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2012,2000,20838,159596,653018,,-0.054451402
1170,0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2013,2000,21157,164589,676764,,0.015308571
1191,0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2014,1974,21024,166676,677319,,-0.006286335
1212,0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2015,2000,21282,169363,716531,,0.012271689
1359,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2010,10900,154313,1509845,6332007,,6.250869279
1254,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2011,10743,153928,1586502,6495076,,-0.002494929
1275,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2012,10870,158086,1721283,6859615,,0.027012629
1296,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2013,10902,158929,1771519,6995368,,0.005332541
1317,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2014,10926,160331,1826250,7374512,,0.008821549
1338,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2015,11191,165345,1863323,7676774,,0.031272804
1480,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2010,798,9021,61895,254640,,-0.94544135
1380,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2011,793,9255,64534,257098,,0.025939475
1400,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2012,802,9095,65634,262098,,-0.017287952
1420,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2013,821,9064,67131,263477,,-0.003408466
1440,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2014,814,9147,70639,285506,,0.009157105
1460,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2015,814,9464,71697,290628,,0.034656171
1605,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2010,2162,16427,128441,610779,,0.735735418
1500,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2011,2155,16589,131594,627921,,0.009861813
1521,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2012,2154,16691,137897,635410,,0.006148653
1542,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2013,2191,16236,134310,627611,,-0.0272602
1563,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2014,2179,16598,143258,671765,,0.022296132
