,Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Employment,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
5444,0500000US33011,33011,"Hillsborough County, New Hampshire",0,Total for all sectors,2015,10938,179115,2291874,9592994
5465,0500000US33011,33011,"Hillsborough County, New Hampshire",0,Total for all sectors,2010,10827,177473,2180940,9048951
5486,0500000US33013,33013,"Merrimack County, New Hampshire",0,Total for all sectors,2011,4060,58812,537188,2308543
5507,0500000US33013,33013,"Merrimack County, New Hampshire",0,Total for all sectors,2012,4073,60573,586275,2442976
5528,0500000US33013,33013,"Merrimack County, New Hampshire",0,Total for all sectors,2013,4031,60018,594587,2499710
5549,0500000US33013,33013,"Merrimack County, New Hampshire",0,Total for all sectors,2014,3979,60791,619093,2627182
5570,0500000US33013,33013,"Merrimack County, New Hampshire",0,Total for all sectors,2015,4011,62229,649489,2929715
5591,0500000US33013,33013,"Merrimack County, New Hampshire",0,Total for all sectors,2010,4104,58478,515170,2247516
5612,0500000US33015,33015,"Rockingham County, New Hampshire",0,Total for all sectors,2011,9322,124294,1254628,5406099
5633,0500000US33015,33015,"Rockingham County, New Hampshire",0,Total for all sectors,2012,9433,127326,1335775,5623534
5654,0500000US33015,33015,"Rockingham County, New Hampshire",0,Total for all sectors,2013,9422,128330,1378101,5792077
5675,0500000US33015,33015,"Rockingham County, New Hampshire",0,Total for all sectors,2014,9490,129125,1463430,6106265
5696,0500000US33015,33015,"Rockingham County, New Hampshire",0,Total for all sectors,2015,9623,133465,1527932,6491389
5717,0500000US33015,33015,"Rockingham County, New Hampshire",0,Total for all sectors,2010,9453,125033,1204665,5226637
5738,0500000US33017,33017,"Strafford County, New Hampshire",0,Total for all sectors,2011,2476,35146,361450,1532099
5759,0500000US33017,33017,"Strafford County, New Hampshire",0,Total for all sectors,2012,2531,35743,384368,1562711
5780,0500000US33017,33017,"Strafford County, New Hampshire",0,Total for all sectors,2013,2536,35159,376841,1546079
5801,0500000US33017,33017,"Strafford County, New Hampshire",0,Total for all sectors,2014,2581,36242,407301,1646201
5822,0500000US33017,33017,"Strafford County, New Hampshire",0,Total for all sectors,2015,2600,37000,413253,1692652
5843,0500000US33017,33017,"Strafford County, New Hampshire",0,Total for all sectors,2010,2516,35704,348283,1454803
5864,0500000US33019,33019,"Sullivan County, New Hampshire",0,Total for all sectors,2011,974,10768,83237,403068
5884,0500000US33019,33019,"Sullivan County, New Hampshire",0,Total for all sectors,2012,945,11011,95535,423746
5903,0500000US33019,33019,"Sullivan County, New Hampshire",0,Total for all sectors,2013,937,11609,101216,451622
5923,0500000US33019,33019,"Sullivan County, New Hampshire",0,Total for all sectors,2014,913,11664,104412,455475
5943,0500000US33019,33019,"Sullivan County, New Hampshire",0,Total for all sectors,2015,910,11736,100455,454259
5964,0500000US33019,33019,"Sullivan County, New Hampshire",0,Total for all sectors,2010,988,10733,84039,393592
5984,0500000US44001,44001,"Bristol County, Rhode Island",0,Total for all sectors,2011,1208,13446,88515,390253
6004,0500000US44001,44001,"Bristol County, Rhode Island",0,Total for all sectors,2012,1228,12342,94204,404174
6024,0500000US44001,44001,"Bristol County, Rhode Island",0,Total for all sectors,2013,1231,12710,95542,418996
6044,0500000US44001,44001,"Bristol County, Rhode Island",0,Total for all sectors,2014,1227,14219,102660,448340
6064,0500000US44001,44001,"Bristol County, Rhode Island",0,Total for all sectors,2015,1237,13764,103351,460600
6084,0500000US44001,44001,"Bristol County, Rhode Island",0,Total for all sectors,2010,1230,13144,82101,374648
6104,0500000US44003,44003,"Kent County, Rhode Island",0,Total for all sectors,2011,4734,66624,669156,2740700
6124,0500000US44003,44003,"Kent County, Rhode Island",0,Total for all sectors,2012,4667,67107,684654,2730188
6145,0500000US44003,44003,"Kent County, Rhode Island",0,Total for all sectors,2013,4638,68044,692316,2796118
6166,0500000US44003,44003,"Kent County, Rhode Island",0,Total for all sectors,2014,4668,68240,723353,2873906
6187,0500000US44003,44003,"Kent County, Rhode Island",0,Total for all sectors,2015,4682,69893,740523,2997370
6208,0500000US44003,44003,"Kent County, Rhode Island",0,Total for all sectors,2010,4817,68851,653446,2730187
6228,0500000US44005,44005,"Newport County, Rhode Island",0,Total for all sectors,2011,2713,28967,248592,1124624
6249,0500000US44005,44005,"Newport County, Rhode Island",0,Total for all sectors,2012,2701,30182,276170,1200690
6269,0500000US44005,44005,"Newport County, Rhode Island",0,Total for all sectors,2013,2710,29934,271595,1162443
6290,0500000US44005,44005,"Newport County, Rhode Island",0,Total for all sectors,2014,2715,30089,328821,1385280
6311,0500000US44005,44005,"Newport County, Rhode Island",0,Total for all sectors,2015,2748,30220,293578,1312765
6332,0500000US44005,44005,"Newport County, Rhode Island",0,Total for all sectors,2010,2758,28719,239650,1102508
6353,0500000US44007,44007,"Providence County, Rhode Island",0,Total for all sectors,2011,15561,254281,2724272,11179195
6374,0500000US44007,44007,"Providence County, Rhode Island",0,Total for all sectors,2012,15505,251373,2851464,11117380
6395,0500000US44007,44007,"Providence County, Rhode Island",0,Total for all sectors,2013,15524,254490,2935089,11486107
6416,0500000US44007,44007,"Providence County, Rhode Island",0,Total for all sectors,2014,15563,263991,3296234,12720221
6437,0500000US44007,44007,"Providence County, Rhode Island",0,Total for all sectors,2015,15696,264537,3199396,12696862
6458,0500000US44007,44007,"Providence County, Rhode Island",0,Total for all sectors,2010,15836,247734,2648353,10946633
6479,0500000US44009,44009,"Washington County, Rhode Island",0,Total for all sectors,2011,3754,40263,389784,1684778
6500,0500000US44009,44009,"Washington County, Rhode Island",0,Total for all sectors,2012,3754,39713,406790,1708168
6521,0500000US44009,44009,"Washington County, Rhode Island",0,Total for all sectors,2013,3723,40756,419845,1759339
6542,0500000US44009,44009,"Washington County, Rhode Island",0,Total for all sectors,2014,3739,41953,437034,1881442
6563,0500000US44009,44009,"Washington County, Rhode Island",0,Total for all sectors,2015,3772,42441,457383,1975018
6584,0500000US44009,44009,"Washington County, Rhode Island",0,Total for all sectors,2010,3791,39287,356116,1615898
6605,0500000US50001,50001,"Addison County, Vermont",0,Total for all sectors,2011,1152,12307,101377,416623
6626,0500000US50001,50001,"Addison County, Vermont",0,Total for all sectors,2012,1158,12409,102025,433920
6647,0500000US50001,50001,"Addison County, Vermont",0,Total for all sectors,2013,1139,12178,106968,462187
6668,0500000US50001,50001,"Addison County, Vermont",0,Total for all sectors,2014,1152,13300,114635,494677
6689,0500000US50001,50001,"Addison County, Vermont",0,Total for all sectors,2015,1170,14191,126990,560295
6710,0500000US50001,50001,"Addison County, Vermont",0,Total for all sectors,2010,1181,12037,90972,417217
6731,0500000US50003,50003,"Bennington County, Vermont",0,Total for all sectors,2011,1439,14433,115162,501668
6751,0500000US50003,50003,"Bennington County, Vermont",0,Total for all sectors,2012,1412,14730,125209,519026
6771,0500000US50003,50003,"Bennington County, Vermont",0,Total for all sectors,2013,1403,15194,126045,533943
6791,0500000US50003,50003,"Bennington County, Vermont",0,Total for all sectors,2014,1385,15173,128380,538670
6811,0500000US50003,50003,"Bennington County, Vermont",0,Total for all sectors,2015,1395,15456,126267,551338
6831,0500000US50003,50003,"Bennington County, Vermont",0,Total for all sectors,2010,1483,14767,114935,506787
6851,0500000US50005,50005,"Caledonia County, Vermont",0,Total for all sectors,2011,930,9182,74104,318305
6872,0500000US50005,50005,"Caledonia County, Vermont",0,Total for all sectors,2012,944,8799,73917,309380
6892,0500000US50005,50005,"Caledonia County, Vermont",0,Total for all sectors,2013,944,9094,76700,320512
6913,0500000US50005,50005,"Caledonia County, Vermont",0,Total for all sectors,2014,925,8801,75259,318472
6934,0500000US50005,50005,"Caledonia County, Vermont",0,Total for all sectors,2015,901,8739,74347,324742
6955,0500000US50005,50005,"Caledonia County, Vermont",0,Total for all sectors,2010,929,9051,69025,303101
6976,0500000US50007,50007,"Chittenden County, Vermont",0,Total for all sectors,2011,5431,84605,905805,3822279
6997,0500000US50007,50007,"Chittenden County, Vermont",0,Total for all sectors,2012,5469,84151,860851,3605749
7018,0500000US50007,50007,"Chittenden County, Vermont",0,Total for all sectors,2013,5523,89448,975177,3952924
7039,0500000US50007,50007,"Chittenden County, Vermont",0,Total for all sectors,2014,5552,86656,915393,3812930
7060,0500000US50007,50007,"Chittenden County, Vermont",0,Total for all sectors,2015,5607,88809,942921,3974045
7081,0500000US50007,50007,"Chittenden County, Vermont",0,Total for all sectors,2010,5503,85348,870607,3722779
7102,0500000US50009,50009,"Essex County, Vermont",0,Total for all sectors,2011,122,503,3022,13954
7120,0500000US50009,50009,"Essex County, Vermont",0,Total for all sectors,2012,115,503,3009,13195
7137,0500000US50009,50009,"Essex County, Vermont",0,Total for all sectors,2013,116,494,3242,13872
7154,0500000US50009,50009,"Essex County, Vermont",0,Total for all sectors,2014,112,505,3455,15674
7171,0500000US50009,50009,"Essex County, Vermont",0,Total for all sectors,2015,116,484,3238,16024
7188,0500000US50009,50009,"Essex County, Vermont",0,Total for all sectors,2010,115,470,2930,13659
7205,0500000US50011,50011,"Franklin County, Vermont",0,Total for all sectors,2011,984,11983,93643,411700
7225,0500000US50011,50011,"Franklin County, Vermont",0,Total for all sectors,2012,1013,11606,95663,413659
7246,0500000US50011,50011,"Franklin County, Vermont",0,Total for all sectors,2013,1020,12038,104324,439196
7266,0500000US50011,50011,"Franklin County, Vermont",0,Total for all sectors,2014,1009,12403,112142,462832
7285,0500000US50011,50011,"Franklin County, Vermont",0,Total for all sectors,2015,1011,12599,116635,483811
7304,0500000US50011,50011,"Franklin County, Vermont",0,Total for all sectors,2010,1023,11964,88888,400051
7324,0500000US50013,50013,"Grand Isle County, Vermont",0,Total for all sectors,2011,180,636,3980,21017
7341,0500000US50013,50013,"Grand Isle County, Vermont",0,Total for all sectors,2012,190,695,4505,21754
7357,0500000US50013,50013,"Grand Isle County, Vermont",0,Total for all sectors,2013,180,624,4149,20555
7373,0500000US50013,50013,"Grand Isle County, Vermont",0,Total for all sectors,2014,178,621,4073,21389
7388,0500000US50013,50013,"Grand Isle County, Vermont",0,Total for all sectors,2015,185,660,4312,23257
7403,0500000US50013,50013,"Grand Isle County, Vermont",0,Total for all sectors,2010,193,628,3671,19506
7420,0500000US50015,50015,"Lamoille County, Vermont",0,Total for all sectors,2011,969,10183,69912,293260
7440,0500000US50015,50015,"Lamoille County, Vermont",0,Total for all sectors,2012,943,10603,79796,311593
7459,0500000US50015,50015,"Lamoille County, Vermont",0,Total for all sectors,2013,944,10592,80028,313634
7479,0500000US50015,50015,"Lamoille County, Vermont",0,Total for all sectors,2014,958,10923,84745,339727
7499,0500000US50015,50015,"Lamoille County, Vermont",0,Total for all sectors,2015,950,11502,88612,351479
7519,0500000US50015,50015,"Lamoille County, Vermont",0,Total for all sectors,2010,970,9616,63524,268509
7539,0500000US50017,50017,"Orange County, Vermont",0,Total for all sectors,2011,776,5991,47560,209711
7560,0500000US50017,50017,"Orange County, Vermont",0,Total for all sectors,2012,775,6117,51497,219066
7581,0500000US50017,50017,"Orange County, Vermont",0,Total for all sectors,2013,766,6169,51352,220851
7602,0500000US50017,50017,"Orange County, Vermont",0,Total for all sectors,2014,758,6165,53109,231458
7623,0500000US50017,50017,"Orange County, Vermont",0,Total for all sectors,2015,753,6312,55002,246185
7643,0500000US50017,50017,"Orange County, Vermont",0,Total for all sectors,2010,779,6043,46088,204490
7664,0500000US50019,50019,"Orleans County, Vermont",0,Total for all sectors,2011,813,7744,54168,242200
7685,0500000US50019,50019,"Orleans County, Vermont",0,Total for all sectors,2012,811,7994,57709,244681
7705,0500000US50019,50019,"Orleans County, Vermont",0,Total for all sectors,2013,793,8190,60995,253276
7726,0500000US50019,50019,"Orleans County, Vermont",0,Total for all sectors,2014,775,8059,62351,261582
7746,0500000US50019,50019,"Orleans County, Vermont",0,Total for all sectors,2015,777,8244,64132,276228
7767,0500000US50019,50019,"Orleans County, Vermont",0,Total for all sectors,2010,831,7733,49526,227259
7788,0500000US50021,50021,"Rutland County, Vermont",0,Total for all sectors,2011,2215,24452,196897,814892
7809,0500000US50021,50021,"Rutland County, Vermont",0,Total for all sectors,2012,2189,24434,203825,830856
7830,0500000US50021,50021,"Rutland County, Vermont",0,Total for all sectors,2013,2166,24163,216278,869444
7851,0500000US50021,50021,"Rutland County, Vermont",0,Total for all sectors,2014,2130,24533,215651,878919
7872,0500000US50021,50021,"Rutland County, Vermont",0,Total for all sectors,2015,2135,23780,213446,889749
7893,0500000US50021,50021,"Rutland County, Vermont",0,Total for all sectors,2010,2238,24408,188665,797842
7914,0500000US50023,50023,"Washington County, Vermont",0,Total for all sectors,2011,2211,25932,238584,1001634
7935,0500000US50023,50023,"Washington County, Vermont",0,Total for all sectors,2012,2236,26849,253390,1049605
7956,0500000US50023,50023,"Washington County, Vermont",0,Total for all sectors,2013,2217,25548,251207,1048334
7977,0500000US50023,50023,"Washington County, Vermont",0,Total for all sectors,2014,2230,26064,269454,1122952
7998,0500000US50023,50023,"Washington County, Vermont",0,Total for all sectors,2015,2242,27085,276846,1162050
8019,0500000US50023,50023,"Washington County, Vermont",0,Total for all sectors,2010,2236,26404,229092,967260
8040,0500000US50025,50025,"Windham County, Vermont",0,Total for all sectors,2011,1769,21387,176975,708951
8061,0500000US50025,50025,"Windham County, Vermont",0,Total for all sectors,2012,1742,21103,185263,713254
8082,0500000US50025,50025,"Windham County, Vermont",0,Total for all sectors,2013,1726,21909,198158,746262
8103,0500000US50025,50025,"Windham County, Vermont",0,Total for all sectors,2014,1708,21059,202879,778376
8124,0500000US50025,50025,"Windham County, Vermont",0,Total for all sectors,2015,1696,21452,211117,814814
8145,0500000US50025,50025,"Windham County, Vermont",0,Total for all sectors,2010,1822,21362,166391,687663
8166,0500000US50027,50027,"Windsor County, Vermont",0,Total for all sectors,2011,2077,28136,174459,713492
8187,0500000US50027,50027,"Windsor County, Vermont",0,Total for all sectors,2012,2052,28512,184200,751758
8208,0500000US50027,50027,"Windsor County, Vermont",0,Total for all sectors,2013,2043,19669,180259,761642
8229,0500000US50027,50027,"Windsor County, Vermont",0,Total for all sectors,2014,2016,19747,187779,772418
8250,0500000US50027,50027,"Windsor County, Vermont",0,Total for all sectors,2015,2006,19901,188184,799490
8271,0500000US50027,50027,"Windsor County, Vermont",0,Total for all sectors,2010,2099,28234,166718,694126
8292,0100000US,1,United States,0,Total for all sectors,2010,7396628,111970095,1200243637,4940983369
8313,0100000US,1,United States,0,Total for all sectors,2011,7354043,113425965,1278564448,5164897905
8334,0100000US,1,United States,0,Total for all sectors,2012,7431808,115938468,1364679729,5414255995
8355,0100000US,1,United States,0,Total for all sectors,2013,7488353,118266253,1411380886,5621697325
8376,0100000US,1,United States,0,Total for all sectors,2014,7563084,121069944,1504360589,5940186911
8397,0100000US,1,United States,0,Total for all sectors,2015,7663938,124085947,1576288214,6253488252
