,Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Employment,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
1254,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2011,10743,153928,1586502,6495076
1275,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2012,10870,158086,1721283,6859615
1296,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2013,10902,158929,1771519,6995368
1317,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2014,10926,160331,1826250,7374512
1338,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2015,11191,165345,1863323,7676774
1359,0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2010,10900,154313,1509845,6332007
1380,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2011,793,9255,64534,257098
1400,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2012,802,9095,65634,262098
1420,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2013,821,9064,67131,263477
1440,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2014,814,9147,70639,285506
1460,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2015,814,9464,71697,290628
1480,0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2010,798,9021,61895,254640
1500,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2011,2155,16589,131594,627921
1521,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2012,2154,16691,137897,635410
1542,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2013,2191,16236,134310,627611
1563,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2014,2179,16598,143258,671765
1584,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2015,2225,16774,142520,678499
1605,0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2010,2162,16427,128441,610779
1626,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2011,3242,43377,364011,1530267
1647,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2012,3239,43827,382636,1596402
1668,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2013,3219,45311,392566,1625713
1689,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2014,3218,45581,402895,1698359
1710,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2015,3203,45976,402170,1729544
1731,0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2010,3323,43645,343671,1474986
1752,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2011,1681,13229,97108,441609
1772,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2012,1688,13508,108902,463804
1792,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2013,1701,13515,104254,468804
1812,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2014,1715,14166,111057,496853
1832,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2015,1734,14160,115291,522548
1852,0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2010,1719,13737,95323,436720
1871,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2011,1393,8317,61188,277055
1892,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2012,1372,8444,60066,275017
1913,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2013,1394,8512,61993,284579
1934,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2014,1395,8374,64829,292867
1955,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2015,1374,8272,64870,304546
1976,0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2010,1409,8491,57619,272858
1997,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2011,1288,14061,106092,450183
2018,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2012,1281,13817,107034,468237
2039,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2013,1287,14320,113731,459384
2060,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2014,1286,14225,113388,473898
2081,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2015,1306,14138,114978,474153
2102,0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2010,1335,14041,99705,436426
2123,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2011,4127,57082,456240,1948316
2144,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2012,4090,57893,484563,2000535
2164,0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2013,4104,57343,488746,2011529
